Type	Name	Rows
TABLE	Ценовые индексы	21
TABLE	Центр2021	210
TABLE	Юг2021	92
VIEW	Destination	
VIEW	Q-obor	
VIEW	SUMNT	
VIEW	t_2023	
VIEW	t_2024	
VIEW	Zpk_01	
VIEW	Анализ таблицы KOEFF_Аня	
VIEW	АО_по_доле_пром_потр	
VIEW	Баланс_тепловой_мощности	
VIEW	Вводы 2005	
VIEW	Вводы Nt	
VIEW	Волга	
VIEW	Выбросы ЗВ и данные из СиПР	
VIEW	Выбросы ПГ и данные из СиПР	
VIEW	Выбросы_ЗВ_реестр отчитавшихся	
VIEW	Выбросы_ПГ_реестр отчитавшихся	
VIEW	Группы-оборудования	
VIEW	Для расчёта формул топлива_Аня	
VIEW	'Доп_угли2012' без подчиненных в 'Поиск повторений для Доп_угли2	
VIEW	Запрос6	
VIEW	Затраты по группам оборудования	
VIEW	Изменение топлива 2023-2024	
VIEW	Искуственый газ 2014 и 2024 годы	
VIEW	Итог	
VIEW	Контроль Nt	
VIEW	Контроль количества записей в Затраты	
VIEW	Контроль_с_н	
VIEW	Контроль_с_н(архив)	
VIEW	Контроль_удельных	
VIEW	Контроль-bt	
VIEW	Конфигурации по станциям	
VIEW	Копия Станции_для_сводной(архив)	
VIEW	Копия Станции_для_сводной_1990-14	
VIEW	Котельные	
VIEW	Макс_код	
VIEW	макс_код_области	
VIEW	мощности 2004-2005	
VIEW	Нет в KOEFF_Аня	
VIEW	Нет угля_Аня	
VIEW	Новые станции_запрос	
VIEW	Области-по эр	
VIEW	Оборудование	
VIEW	Оборудование(новый)	
VIEW	Перевод на газ	
VIEW	Перетоки	
VIEW	Поиск отклонений в ценах на топливо	
VIEW	Поиск повторений для Доп_угли2012	
VIEW	Поиск повторений для Удельные(архив)	
VIEW	Пост_перем_затраты	
VIEW	Потребители_тепла_запрос	
VIEW	Примечания к отчету(запрос)	
VIEW	Прирост_мощности	
VIEW	Проверка eotp и ewtp	
VIEW	Проверка Qotr	
VIEW	Проверка ved_для расчета btp_Аня	
VIEW	Проверка углей	
VIEW	Проверка филиалов для ЗВ	
VIEW	Проверка филиалов для ПГ	
VIEW	Проверка_разбивки	
VIEW	Просмотр VED составных станций	
VIEW	Просмотр котельных (95 кода оборудования)	
VIEW	Просмотр отчётн и перспект уедльных_Аня	
VIEW	Просмотр удельных оборудования_Аня	
VIEW	Прочее топливо 2014 и 2024 годы	
VIEW	Рабочий	
VIEW	Рабочий(Выбросы_ЗВ)	
VIEW	Рабочий(Выбросы_ПГ)	
VIEW	Рабочий(доп_угли)	
VIEW	Рабочий(натура)	
VIEW	Рабочий(станции)	
VIEW	Рабочий(стоимость)	
VIEW	Рабочий_ОРГРЭС	
VIEW	Рабочий-для-ввода	
VIEW	Разбиваемые станции	
VIEW	Расхождение архива с отчётами по годам	
VIEW	Расчёт низшей теплоты сгорания	
VIEW	Расчёт средней цены топлива	
VIEW	Расчёт средней цены угля (просмотр)	
VIEW	Расчёт цены 2	
VIEW	расчетный_тариф	
VIEW	Режимы2008_для_сводной	
VIEW	Сводная для ПГ	
VIEW	Сводная по приложениям к приказу 1340	
VIEW	Северо-Запад	
VIEW	Сети_РЭУ	
VIEW	Составные-станции	
VIEW	Списки_агрегатов_для_печати	
VIEW	Список_станций	
VIEW	Справка(годы)	
VIEW	СправкаП(заголовок)	
VIEW	Сравнение отчёта ОТЭТ и Эксель от Павловской	
VIEW	Сравнение цены топлива из разных отчётов	
VIEW	Сравнение_NUST	
VIEW	Сравнение_ОТЭТ-ОПЭС	
VIEW	Сравнение_тепл_мощн	
VIEW	'Станции' без подчиненных в 'KOEFF'	
VIEW	Станции без подчиненных в Стоимость	
VIEW	Станции с Y	
VIEW	Станции с ценой топлива	
VIEW	Станции с частями_Аня	
VIEW	Станции_для_новой_сводной	
VIEW	Станции_для_сводной(2021)_ТДж	
VIEW	Станции_для_сводной(архив)	
VIEW	Станции_для_сводной(архив)_КПД	
VIEW	Станции_для_сводной_1990	
VIEW	Станции_для_сводной_2011	
VIEW	Станции_для_сводной_2012	
VIEW	Станции_для_сводной_2013	
VIEW	Станции_для_сводной_2014	
VIEW	Станции_для_сводной_2015	
VIEW	Станции_для_сводной_2016	
VIEW	Станции_для_сводной_2020	
VIEW	Станции_для_сводной_2020_заменён	
VIEW	Станции_для_сводной_2021	
VIEW	Станции_для_сводной_2022	
VIEW	Станции_для_сводной_2023	
VIEW	Станции_для_сводной_2024	
VIEW	Станции_на_угле	
VIEW	Станции_получатели_угля	
VIEW	'Станции2020' без подчиненных в 'KOEFF'	
VIEW	Станции-с-одной-группой	
VIEW	Стоимость-станции-словарь	
VIEW	Сумма_тепл_мощн	
VIEW	Тепло_снижение_в_1,5-2_раза	
VIEW	Тепло_снижение_в_2 раза	
VIEW	Тепло_снижение_в_2-3 раза	
VIEW	Тепло_снижение_в_3_ раза	
VIEW	Только_ОЭС	
VIEW	Топливные затраты	
VIEW	Удельные топливные затраты	
VIEW	Удельные_для_печати	
VIEW	Упрощенный запрос из архива_Аня	
VIEW	Фильтр_станций	
VIEW	Фильтр_станций_с_оборудованием	
VIEW	Формулы топлива_отчёт	
VIEW	Цена топлива и УРУТ	
VIEW	Цена топлива и УРУТ_2021	
VIEW	Цена топлива и энергии (просмотр)	
VIEW	Цена топлива индексированная	
VIEW	Часы	
VIEW	Часы_архив	
VIEW	Экономичность	
VIEW	Юг	
